T (K),Cp(cal/mol/K),S(cal/mol/K),dH (kcal/mol)
0,0.000,0.000,-9.302
100,7.950,37.210,-9.988
200,8.064,42.740,-10.445
298,8.515,46.033,-10.970
300,8.526,46.085,-10.980
400,9.241,48.633,-11.482
500,10.036,50.780,-11.919
600,10.808,52.679,-12.282
700,11.538,54.400,-12.582
800,12.225,55.986,-12.824
900,12.868,57.464,-13.016
1000,13.467,58.851,-13.163
1100,14.030,60.161,-13.271
1200,14.550,61.404,-13.343
1300,15.030,62.588,-13.385
1400,15.460,63.718,-13.402
1500,15.850,64.798,-13.399
1600,16.205,65.833,-13.381
1700,16.520,66.825,-13.347
1800,16.762,67.776,-13.303
1900,16.995,68.689,-13.250
2000,17.220,69.566,-13.191
